nomeAditivo	idAditivo
E1422 - Acetylated distarch adipate	1
E450 - Diphosphates	2
E472b - Lactic acid esters of mono- and diglycerides of fatty acids	3
E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids	4
E475 - Polyglycerol esters of fatty acids	5
E481 - Sodium stearoyl-2-lactylate	6
E160a - Alpha-carotene	7
E170 - Calcium carbonate	8
E322 - Lecithins	9
E322i - Lecithin	10
E330 - Citric acid	11
E375 - Nicotinic acid	12
E500 - Sodium carbonates	13
E500ii - Sodium hydrogen carbonate	14
E503 - Ammonium carbonates	15
E202 - Potassium sorbate	16
E331 - Sodium citrates	17
E331iii - Trisodium citrate	18
E955 - Sucralose	19
E1100 - Alpha-Amylase	20
E203 - Calcium sorbate	21
E300 - Ascorbic acid	22
E406 - Agar	23
E410 - Locust bean gum	24
E420 - Sorbitol	25
E420i - Sorbitol	26
E440 - Pectins	27
E440i - Pectin	28
E270 - Lactic acid	29
E296 - Malic acid	30
E211 - Sodium benzoate	31
E509 - Calcium chloride	32
E920 - L-cysteine hydrochloride	33
E150 - Caramel	34
E999 - Quillaia extract	35
E1400 - Dextrin	36
E235 - Natamycin	37
E316 - Sodium erythorbate	38
E407 - Carrageenan	39
E131 - Patent blue v	40
E171 - Titanium dioxide	41
E422 - Glycerol	42
E163 - Anthocyanins	43
E150d - Sulphite ammonia caramel	44
E338 - Phosphoric acid	45
E325 - Sodium lactate	46
E332 - Potassium citrates	47
E950 - Acesulfame k	48
E160c - Paprika extract	49
E223 - Sodium metabisulphite	50
E415 - Xanthan gum	51
E471 - Mono- and diglycerides of fatty acids	52
E120 - Cochineal	53
E133 - Brilliant blue FCF	54
E150a - Plain caramel	55
E220 - Sulphur dioxide	56
E150c - Ammonia caramel	57
E263 - Calcium acetate	58
E326 - Potassium lactate	59
E621 - Monosodium glutamate	60
E100 - Curcumin	61
E341 - Calcium phosphates	62
E401 - Sodium alginate	63
E102 - Tartrazine	64
E110 - Sunset yellow FCF	65
E129 - Allura red ac	66
E297 - Fumaric acid	67
E334 â€“ L	68
E428 - Gelatine	69
E551 - Silicon dioxide	70
E903 - Carnauba wax	71
E905a - Mineral oil	72
E412 - Guar gum	73
E160ai - Beta-carotene	74
E502 - Carbonates	75
E290 - Carbon dioxide	76
E101 - Riboflavin	77
E101i - Riboflavin	78
E160b - Annatto	79
E334 - L	80
E224 - Potassium metabisulphite	81
E250 - Sodium nitrite	82
E252 - Potassium nitrate	83
E301 - Sodium ascorbate	84
E433 - Polyoxyethylene sorbitan monooleate	85
E492 - Sorbitan tristearate	86
E282 - Calcium propionate	87
E341i - Monocalcium phosphate	88
E516 - Calcium sulphate	89
E916 - Calcium iodate	90
E917 - Potassium iodate	91
E260 - Acetic acid	92
E517 - Ammonium sulphate	93
