code	product_name	quantity	brands	origins	tipo embalagem
27083	Marks % Spencer 2 Blueberry Muffins	230g			Frais
50913	M&S Extrenely Chocolatey Milk, Dark & White Chocolate Biscuits	500g			Frais
56434	diet lemonade by Sainsbury's	2l			Frais
290616	Salade Cesar	0.980 kg	Kirkland Signature	Québec	Frais
394710	Danoises à la cannelle roulées	1.150 kg	Kirkland Signature	Québec	Sachet plastique
673358	Veggie Colin the Caterpillar	170g			Canette
1798180	Fairtrade Ground Cinnamon	45g			Carton
1938067	Chaussons tressés aux pommes	1.200 kg	Kirkland Signature	Québec	Frai
4302544	Pain Burger Artisan	1.008 kg / 12 pain	Kirkland Signature	Québec	aluminium
5200016	lentilles vertes 	1 kg 	Bertrand Lejeune		Bouteille
7020254	Root Beer	33 cl e	A&W		Bouteille
7730009	Biscuits sablés fourrage au cacao	1 kg	St Michel		Bouteille
8237798	Quiche Lorraine	1 400 kg	Kirkland Signature	Québec	Bouteille
10090206	Thé de Noël aromatisé orange-cannelle	75 g	Alice Délice		21 PAP
10127735	Sirops pour ganache macarons	4 x 5 cl	Alice Délice		bowl
20004552	Côtes du Rhône Villages 2014	75 cl e	Union des Vignerons des Cotes du Rhône	France	Canette
20424640	Belgische Pralinen	250 g	J. D. Gross		Bote
27533024	Luxury Christmas Pudding	454g	Asda,Asda Extra Special		Canette
40608754	Pepsi, Nouveau goût !	15 cl	Pepsi		bucket
50985098	HALLS Extra Strong	34g			film
54491472	Coca Cola	500ml			boîte
54491496	Diet Coke	500ml			sachet
75001629	Sol	33cl			Boîte
80007838	Acqua oligominerale San benedetto frizzante	500ml			Sachet
80135876	Nutella	400g			Barquette
84154071	Salsa de mostaza	300 g (neto)	Prima		bucket
87177756	7Up	33 cl	Pepsico		can
93718738	Horseradish cream	175g			Sachet
204286484	Mehrkomponeneten Protein 90 C6 Haselnuß	2,5 kg	allfitnessfactory.de	Germany	Boîte carton
2929	Flat Leaf Parsley	25 g	Cook with M&S		Sachet
30	Cakes Raisins	900 g	Bijou		Boîte carton
31	Cakes aux Fruits	600 g	Bijou		bag
3100	Chair à saucisse	792 g	Sovivo	France	Boîte
460938714	100% Soja Protein Haselnuss	2 kg	allfitnessfactory.de		Boîte
470322800	Whey Protein aus Molke Vanilla	2000g	allfitnessfactory.de	Germany	box
50	Financiers aux Amandes	660 g (30 pâtisseries)	Bijou		Sachet
51	Fondants Citron	660 g (30 étuis individuels)	Bijou		Sachet
526938306	Whey Protein aus Molke 500 Gramm Vanilla	500g	allfitnessfactory.de	Germany	Sachet
790310013	Sour Fruit Gummies	3.5 oz	Candy Crush		Sachet
790310020	Jelly Fish	3 oz	Candy Crush		sachet
104	30 Panach' Fruits	980g	Bijou		Sachet
11501	Curiously Strong Mints	50 g	Marks & Spencer		barquette
11679	All Butter Cookies Belgian Chocolate Chunk	230 g e	Marks & Spencer		plastique
11686	All Butter Sultana Cookies	250 g	Marks & Spencer		Carton
11693	All Butter Belgian White Chocolate Chunk Cookies	225 g e	Marks & Spencer		Plastique
11709	All Butter Fruity Flapjack Cookies	225 g e	Marks & Spencer		Frais
11730	All butter Cranberry & Orange Cookies	225 g e	Marks & Spencer		Frais
11754	Cookies Stem Ginger	225 g	Marks & Spencer		Tin
11778	Stem Ginger Cookies	225 g (10 cookies)	Marks & Spencer		Frais
11815	Stem Ginger Dunkers	320 g	M&S		Sachet
12444	Sundae Mix	10 L e (1 * 10 L e)	McDonald's		Sachet
13029	Cheddar	7.788 kg (6 * 1,298 kg)	McDonald's		film
14472	Wild Rice	454 g	Trader Joe's		bucket
16063	Clam Chowder A Condensed Soup	15 oz, 425g	Pilgrim Joe's		Sachet
18097	Salade Mac	10 kg (5 * 2 kg)	McDonald's		Boîte
18166	6 Ultimate Crumpets	330 g e	Marks & Spencer		Sachet
19170	Large flat mushrooms	250g	Sainsbury's		Bouteille
2042861915	Mehrkomponeneten Protein 90 C6 Vanille	2,5 kg	allfitnessfactory.de	Germany	Box
227	Bijou Caramel ChocoLait	740 g (20 étuis individuels)	Bijou		Barquette
23092	4 Indulgent & Chewy Maple Syrup & Pecan Giant Cookies	275 g	Marks & Spencer		boîte
24679	Yorkshire Gold	500 ml	Marks & Spencer		bucket
25157	Pizza Parlanno	1 LB (517 g)	Trader Giotto's		Brique
25751	Honey roast ham	120 g	Marks & Spencer	Royaume-Uni	 film 
28264	Gluten Free Melba Toasts With Apricots & Cashew Nuts	125 g	Marks & Spencer		tray 
2983542515	100% Soja Protein Neutral	2 kg	allfitnessfactory.de	Germany	box
31858	Pur Soup' Velouté de légumes	60cl	Liebig		Frais
33046	British Beef Braising Steak	450 g	Marks & Spencer	United Kingdom	label
36559	Mac 'n Cheese	397 g	Joe's Diner		bag
41500007007	Yellow Mustard	9 OZ (25.5g)	Heinz		Bottle
43366	Salade Mexicaine de Riz, Quinoa et Avocat	205 g e	Marks & Spencer		Bottle
4394	tree ripened papaya	1 papaya	sainsbury's	brazil	Sachet
53327	British plain flour	1.5 kg	sainsbury's		
64491	Sunflower oil	1 l	Sainsbury's		Boîte
65269	Pancakes au Chocolat belge	320 g	Marks & Spencer		
68789	Rollmop Herrings	280 g	Marks & Spencer		barquette
71093	Hollow Milk Chocolate Decorated R2D2 Figure	215 g e	Marks & Spencer		Frais
71185	Spiketail the Dinosaur	205 g e	Marks & Spencer		Jar
73455	grilled Cajun chicken breast, spicy wedges & sour cream	350 g	Marks & Spencer	Europe,Royaume-Uni	Barquette wrap
73899	Cornish Cove Cheddar	200 g e	Marks & Spencer	Royaume-Uni	Frais
74742	Taste the Difference Raspberry Conserve	340g	Sainsbury's		Bottle
76630	Broccoli	335g	Sainsbury's	Scotland	Bouteille
78115	Mild Cheddar with Onions & Chives	160 g	Marks & Spencer	Royaume-Uni	Bag
8274000078	Extra Ginger Beer Reed's	12 fl oz	Reed's		
8295616241	Balsamic vinegar of Modena	250 ml	De Nigris		
88862	British plain flour	500g	Sainsbury's		
88978	Fresh Drinking Coconut	1 pièce	Marks & Spencer		Plastic
90100	Pulled Pork & Chorizo Feijoada	400 g	Marks & Spencer,M&S	Espagne,Royaume-Uni	jar
9073102963	sharon's sorbet mango	16 oz	sharon's sorbet		jar
9138378043	Rainbow Cherry	0.75 oz (22 g)			Card
9300003346	Petite Snack Crunchers Kosher Dills	16 fl. oz (1 pt) 473 mL	Mt. Olive		Box
9300128896	Kosher Dills	1 gallon (3.78 L)	Mt. Olive		Pot
9542018054	Creme Brulee	3.5 OZ (100g)	Lindt & Sprungli Sas		
9542018061	Creation Hazelnut Torte Milk Chocolate	3.5 OZ (100g)	Lindt & Sprungli Sas		sachet
9542018085	Molten Lava Cake	3.5 OZ (100g)	Lindt & Sprungli Sas		Pot
9800801107	Mini Cups	10 MINI CUPS - 5.2 OZ (150 g)	Ferrero		Boîte
9800892204	Nutella	1 kg	Ferrero		Boîte
9800895007	Nutella	13 oz	Ferrero		Frais
9800895250	Nutella	750 g	Ferrero		
99233	Cheese Twists	125 g e	Marks & Spencer		Card
99332	Wrap Poulet à la Jamaïcaine	231 g	Marks & Spencer	Grande Bretagne	box
104456	Haggis	454 g	Marks & Spencer		card
10700021526	Milk Duds	5 OZ (141 g)	The Hershey Company		
10700024404	Whoppers	5 OZ (141 g)	The Hershey Company		pot
10700088130	Good & Plenty	6 OZ (170 g)	The Hershey Company		Bag
10852997489	Cream on Top strawberry Organic Yogurt	6 oz (170 g)	Clover Organic Farms		Bag
11110001207	White enriched bread	20 oz	Kroger		
11110001986	Light Rye	24 oz	Kroger		Bag
11110019516	nuts	340g			
11110020109	Hamburger enriched buns	12 oz	Kroger		
